,University,Country
0,Massachusetts Institute of Technology (MIT),"Cambridge, United States"
1,Stanford University,"Stanford, United States"
2,University of Cambridge,"Cambridge, United Kingdom"
3,University of Oxford,"Oxford, United Kingdom"
4,University of Oxford,"Oxford, United Kingdom"
5,"University of California, Berkeley (UCB)","Berkeley, United States"
6,Imperial College London,"London, United Kingdom"
7,ETH Zurich,"Zürich, Switzerland"
8,Harvard University,"Cambridge, United States"
9,Tsinghua University,"Beijing, China (Mainland)"
10,California Institute of Technology (Caltech),"Pasadena, United States"
11,EPFL,"Lausanne, Switzerland"
12,EPFL,"Lausanne, Switzerland"
13,Georgia Institute of Technology,"Atlanta, United States"
14,Delft University of Technology,"Delft, Netherlands"
15,"Nanyang Technological University, Singapore (NTU Singapore)","Singapore, Singapore"
16,Carnegie Mellon University,"Pittsburgh, United States"
17,National University of Singapore (NUS),"Singapore, Singapore"
18,National University of Singapore (NUS),"Singapore, Singapore"
19,"University of California, Los Angeles (UCLA)","Los Angeles, United States"
20,Politecnico di Milano,"Milan, Italy"
21,University of Illinois at Urbana-Champaign,"Champaign, United States"
22,The University of Tokyo,"Tokyo, Japan"
23,Institut Polytechnique de Paris,"Palaiseau Cedex, France"
24,Institut Polytechnique de Paris,"Palaiseau Cedex, France"
25,Université Paris-Saclay,"Gif-sur-Yvette,, France"
26,University of Texas at Austin,"Austin, United States"
27,KAIST - Korea Advanced Institute of Science & Technology,"Daejeon, South Korea"
28,Purdue University,"West Lafayette, United States"
29,University of Michigan-Ann Arbor,"Ann Arbor, United States"
30,University of Toronto,"Toronto, Canada"
31,Technical University of Munich,"Munich, Germany"
32,Zhejiang University,"Hangzhou, China (Mainland)"
33,Shanghai Jiao Tong University,"Shanghai, China (Mainland)"
34,Peking University,"Beijing, China (Mainland)"
35,Peking University,"Beijing, China (Mainland)"
36,The University of Manchester,"Manchester, United Kingdom"
37,University of British Columbia,"Vancouver, Canada"
38,Princeton University,"Princeton, United States"
39,Cornell University,"Ithaca, United States"
40,Seoul National University,"Seoul, South Korea"
41,University of Waterloo,"Waterloo, Canada"
42,King Abdulaziz University (KAU),"Jeddah, Saudi Arabia"
43,Tokyo Institute of Technology (Tokyo Tech),"Tokyo, Japan"
44,UCL,"London, United Kingdom"
45,McGill University,"Montreal, Canada"
46,Université PSL,"Paris, France"
47,The Hong Kong University of Science and Technology,"Hong Kong, Hong Kong SAR"
48,KTH Royal Institute of Technology,"Stockholm, Sweden"
49,Politecnico di Torino,"Turin, Italy"
50,"University of California, San Diego (UCSD)","San Diego, United States"
51,"University of California, San Diego (UCSD)","San Diego, United States"
52,Indian Institute of Technology Bombay (IITB),"Mumbai, India"
53,Indian Institute of Technology Delhi (IITD),"New Delhi, India"
54,The University of New South Wales (UNSW Sydney),"Sydney, Australia"
55,"KIT, Karlsruhe Institute of Technology","Karlsruhe, Germany"
56,The University of Melbourne,"Parkville, Australia"
57,Technische Universität Berlin (TU Berlin),"Berlin, Germany"
58,Texas A&M University,"College Station, United States"
59,Columbia University,"New York City, United States"
60,RWTH Aachen University,"Aachen, Germany"
61,Universidad Politécnica de Madrid (UPM),"Madrid, Spain"
62,KU Leuven,"Leuven, Belgium"
63,Lomonosov Moscow State University,"Moscow, Russia"
64,Technical University of Denmark,"Kongens Lyngby, Denmark"
65,The University of Edinburgh,"Edinburgh, United Kingdom"
66,Universidad Nacional Autónoma de México (UNAM),"Mexico City, Mexico"
67,Universidad Nacional Autónoma de México (UNAM),"Mexico City, Mexico"
68,University of Washington,"Seattle, United States"
69,King Fahd University of Petroleum & Minerals,"Dhahran, Saudi Arabia"
70,Sorbonne University,"Paris, France"
71,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),"Barcelona, Spain"
72,Universiti Malaya (UM),"Kuala Lumpur, Malaysia"
